ad,domain,email,telefon,sehir,kaynak
Eksper Tren Taşımacılığı A.Ş.,ekspertren.com,info@eksperrail.com,0212 216 59 04 - 0212 216 59 05,İSTANBUL,UTIKAD
Ekspres Gemi. Hava Kargo Tur. ve Tic. Ltd. Şti.,expressairtravel.net,info@expressairtravel.net,0242 248 29 50 - 0242 248 29 51,ANTALYA,UTIKAD
Ektrans Ulus. Nak. ve Tic. A.Ş.,ektrans.com.tr,info@ektrans.com.tr,0212 290 76 76,İSTANBUL,UTIKAD
Element Uluslararası Nakliyat Lojistik ve Turizm İth. İhr. Tic. A.Ş.,elementlogistic.com,info@elementlogistic.com,0232 465 20 15,İZMİR,UTIKAD
Eleven Danır 19 Denizcilik ve Proje Taşımacılığı A.Ş.,11d19.com,,,İSTANBUL,UTIKAD
Eli Ulus. Taş. ve Turizm Tic. Ltd. Şti.,eliexpress.com.tr,info@eliexpress.com.tr,0212 470 37 37,İSTANBUL,UTIKAD
Elif Geyikoğlu Alpha Partner Dış Ticaret,partner-alpha.com,info@partner-alpha.com,0532 399 34 16,İSTANBUL,UTIKAD
Elin Uluslararası Nakliye Aracılık Hizmetleri ve Dış Ticaret Ltd. Şti.,elinlogistics.com.tr,info@elinlogistics.com.tr,0216 504 35 61,İSTANBUL,UTIKAD
Elmina Lojistik ve Taşımacılık Tic. Ltd. Şti,elmina.com.tr,info@elmina.com.tr,0530 497 61 66,İSTANBUL,UTIKAD
ELS Uluslararası Taş. Hiz. Tic. A.Ş.,elslog.com,info@elslog.com,0212 423 96 00,İSTANBUL,UTIKAD
Embassy Freight Ulus. Taş. ve Tic. Ltd. Şti.,embassy.com.tr,info@embassy.com.tr,0216 450 25 75,İSTANBUL,UTIKAD
Emea Global Hava ve Deniz Taşımacılığı A.Ş.,emeaglobal.com,,0212 280 94 26 - 0212 283 96 46,İSTANBUL,UTIKAD
Emons Uluslararası Transport ve Tic. Ltd. Şti.,emons.com,info@emons.com.tr,0212 278 41 42,İSTANBUL,UTIKAD
Enatrans Ulus. Taş. Loj. ve Dış Tic. Ltd. Şti.,enatrans.com,ercan.sahin@enatrans.com,0232 484 63 00,İZMİR,UTIKAD
Enco Lojistik ve Ticaret A.Ş.,enco.com.tr,info@enco.com.tr,0212 473 54 00,İSTANBUL,UTIKAD
Enki Lojistik A.Ş.,enkitransport.com,info@enkitransport.com,0532 641 28 75,İSTANBUL,UTIKAD
Erkport Liman Hizmetleri A.Ş.,erkport.com,info@erkport.com,0232 422 09 69,İZMİR,UTIKAD
Erkut Depolama Nakliyat A.Ş.,erkutnakliyat.com.tr,muhasebe@erkutnakliyat.com.tr,0362 420 02 03,SAMSUN,UTIKAD
Erler Global Loj. ve Gümrük Müşavirliği A.Ş.,erlerglobal.com,info@erlerglobal.com,0216 474 08 10,İSTANBUL,UTIKAD
Erse Lojistik Turizm Tekstil Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,erselojistik.com,info@erselojistik.com,0212 580 37 73,İSTANBUL,UTIKAD
ES Uluslararası Taş. ve Denizcilik Tic. A.Ş.,esitr.com,info@esitr.com,0216 562 11 00,İSTANBUL,UTIKAD
Esalco Lojistik ve Dış Tic. A.Ş.,esalco.com,info@esalco.com.tr,444 2 395,İSTANBUL,UTIKAD
Esna Ulus. Taş. Brokerlik Hiz. ve Dış Tic. Ltd. Şti.,esnafreight.com,info@esnafreight.com,0216 688 45 00,İSTANBUL,UTIKAD
Estelog Lojistik A.Ş.,este-log.com,info@este-log.com,0216 337 60 00,İSTANBUL,UTIKAD
Eti Lojistik Demiryolu Taş. ve İşletmeciliği Vagon Bakım Onarım İmalat San. ve Tic. A.Ş.,yilport.com.tr,,0262 629 76 00,KOCAELİ,UTIKAD
Eureka Loj. Konteyner ve San. Tic. Ltd. Şti.,eurekacontainers.com,accounts@eurekacontainers.com,0537 265 98 40,İSTANBUL,UTIKAD
Europe Intermodal Nak. Hiz. Aracılığı Ltd. Şti.,europeintermodal.com,pulaterginbas@europeintermodal.com,0216 455 99 67,İSTANBUL,UTIKAD
Euroturk Lojistik Dış Ticaret Ltd. Şti.,euroturktr.com,evren@euroturktr.com,0212 852 69 19,İSTANBUL,UTIKAD
Everest Denizcilik Lojistik İç ve Dış Tic. Ltd. Şti.,everestshipping.com.tr,info@everestshipping.com.tr,0216 445 12 56,İSTANBUL,UTIKAD
Evliya Çelebi Nakliyat Loj. İnş. ve Tic. Ltd. Şti.,evliyacelebinakliyat.com,info@evliyacelebinakliyat.com,0212 630 40 50,İSTANBUL,UTIKAD
Evolog Nakliyat ve Lojistik Hiz. Tic. Ltd. Şti.,evolog.com.tr,info@evolog.com.tr,0212 999 86 86,İSTANBUL,UTIKAD
Expeditors İnternational Taş. ve Tic. A.Ş.,expeditors.com,suleyman.ture@expeditors.com,0212 413 77 00,İSTANBUL,UTIKAD
Fast Turkey Lojistik ve Turizm A.Ş.,fastlogisticscargo.com,info.turkey@fastlogisticscargo.com,0850 755 92 93,İSTANBUL,UTIKAD
FedEx Logistics Turkey Taş. ve  Ltd. Şti.,ftn.fedex.com,info@fedex.com,0212 705 38 00,İSTANBUL,UTIKAD
Fevzi Gandur Uluslararası Taşımacılık A.Ş.,smartlog.com.tr,info@smartlog.com.tr,0212 987 55 55,İSTANBUL,UTIKAD
Filenders Lojistik ve Teknoloji A.Ş.,filenders.com,,0324 503 84 33,MERSİN,UTIKAD
FL Fuar Lojistik Hizmetleri Taşımacılık Ltd. Şti.,fuarlojistigi.com,expo@fuarlojistigi.com,0212 599 67 21 - 22,İSTANBUL,UTIKAD
FMS Lojistik Ltd. Şti.,fms-logistics.com,bilgehan.engin@fms-logistics.com,0216 469 17 30,İSTANBUL,UTIKAD
Form Global Lojistik ve Ticaret Ltd. Şti.,formgloballogistics.com,info@formgloballogistics.com,0232 348 31 05,İZMİR,UTIKAD
Formar Denizcilik ve Ticaret A.Ş.,formarshipping.com,agency@formarshipping.com,0212 393 22 00,İSTANBUL,UTIKAD
Former Deniz Acenteliği San. ve Tic. Ltd. Şti.,formerlojistik.com.tr,info@formerlojistik.com.tr,0531 721 33 70,MERSİN,UTIKAD
Four Plus Logistics / FP Uluslararası Taşımacılık Loj. ve Dış Tic. Ltd. Şti.,fourplus.com.tr,ozgecan.er@fourplus.com.tr,0212 777 39 63 - 0212 777 39 64,İSTANBUL,UTIKAD
Fracht Lojistik A.Ş.,frachtgroup.com,accounting@fracht.com.tr,0216 999 49 69,İSTANBUL,UTIKAD
Fratelli Cosulich Taş. Hiz.  Ltd. Şti.,cosulich.com.tr,derya@cosulich.com.tr,0212 292 47 30,İSTANBUL,UTIKAD
Freightcon International Taş. Tic. Ltd. Şti.,freightcon.com.tr,istanbul@batigroup.com.tr,0212 252 21 48,İSTANBUL,UTIKAD
FSP Uluslararası Taşımacılık Hiz. Tic. Ltd. Şti.,fsplogistics.com,fairs@fsplogistics.com,0212 470 70 70,İSTANBUL,UTIKAD
G Lojistik ve Denizcilik Ulus. Tic. A.Ş.,glogistics-tr.com,serdar.yetismisoglu@glogistics-tr.com,0216 464 41 02,İSTANBUL,UTIKAD
Galata Taşımacılık ve Ticaret A.Ş.,galpi.com.tr,info@galpi.com.tr,0850 755 04 58,İSTANBUL,UTIKAD
Gata Lojistik ve Havacılık Hizmetleri A.Ş.,gatagroup.com.tr,info@gatagroup.com.tr,0212 465 81 88,İSTANBUL,UTIKAD
Gefco Taşımacılık ve Lojistik A.Ş.,tr.gefco.net,info.turkey@gefco.net,,İSTANBUL,UTIKAD
Gemline Denizcilik Hiz. San. ve Tic. Ltd. Şti.,gemline.com.tr,container@gemline.com.tr,0224 519 01 12,BURSA,UTIKAD
Genel Transport Nakliyat ve Tic. Ltd. Şti.,geneltransport.com.tr,info@geneltransport.com.tr,0212 241 25 15,İSTANBUL,UTIKAD
Geodis Turkey Nakliyat A.Ş.,geodis.com,tr.info@geodis.com,0216 573 32 05,İSTANBUL,UTIKAD
Ges Logistics Taşımacılık Ltd. Şti.,globeexpress.com,jan.gulluoglu@globeexpress.com,0212 442 34 08,İSTANBUL,UTIKAD
Gezairi Transport Nakliyat ve Ticaret A.Ş.,gezairi.com,istanbul@gezairi.com,0212 232 02 04 - 0850 724 04 84,İSTANBUL,UTIKAD
GF Taşımacılık ve Lojistik Hizmetleri Tic. A.Ş.,gflogistics.com.tr,soneryarkin@gflogistics.com.tr,0216 336 16 68,İSTANBUL,UTIKAD
GFT Lojistik A.Ş.,gftlogistics.com,gft@gftlogistics.com,0212 424 05 75,İSTANBUL,UTIKAD
GHISA Lojistik Uluslararası Taş. ve Tic. Ltd. Şti.,ghisalogistics.com,ulas.kirmizi@ghisalogistics.com,,İSTANBUL,UTIKAD
Giritli Uluslararası Ticaret ve Loj. Ltd. Şti.,giritliglobal.com,operasyon@giritliglobal.com,0216 688 10 00,İSTANBUL,UTIKAD
Global Star Lojistik Sanayi ve Ticaret Ltd. Şti.,globalstarlojistik.com,alper.aysen@globalstarlojistik.com,0532 568 54 80,MERSİN,UTIKAD
Globaltrade Dış Ticaret ve Lojistik Ltd. Şti.,globallogistics.com.tr,info@globallogistics.com.tr,0212 532 00 50,İSTANBUL,UTIKAD
Globe Air Cargo Taş. Hiz. Tic. A.Ş.,ecsgroup.aero,accounting.tr@ecsgroup.aero,0212 465 02 30,İSTANBUL,UTIKAD
Globelink Ünimar Lojistik A.Ş.,globelink-unimar.com,info@globelink-unimar.com,0216 651 93 93,İSTANBUL,UTIKAD
Glober Lojistik A.Ş.,globerlojistik.com,glober@globerlojistik.com,0216 663 63 00,İSTANBUL,UTIKAD
GNV Loj. Ulus. Taş. Den. ve Dış Tic. Ltd. Şti.,gnwlogistics.com,management@gnwlogistics.com,0232 489 11 44,İZMİR,UTIKAD
GNY Global Lojistik Depolama Taş. Tic. A.Ş.,gnyglobal.com,finance@gnyglobal.com,0212 224 00 13,İSTANBUL,UTIKAD
Gökbil Nak. Depolama Loj. San. ve Dış Tic. A.Ş.,gokbil.com.tr,gokbil@gokbil.com.tr,0262 754 20 67,KOCAELİ,UTIKAD
Gökbora Ulus. Nak. ve Tic. A.Ş.,gokboranakliyat.com,info@gokbora.com,0212 878 00 00,İSTANBUL,UTIKAD
Greenlog İntermodal Lojistik Hiz. A.Ş.,greenlog.com.tr,info@greenlog.com.tr,0212 267 10 18,İSTANBUL,UTIKAD
Gruptrans Uluslararası Taşımacılık ve Tic. A.Ş.,gruptrans.com,info@gruptrans.com,0312 215 43 44,ANKARA,UTIKAD
Habur Petrol Ürünleri ve Gıda Sanayi Nakliyat İthalat İhracat Ltd. Şti. Mersin Şubesi,habur.com.tr,info@haburpetrol.com,0324 454 07 70,MERSİN,UTIKAD
Haliç Ulus. Taş. Turizm ve Dış Tic. Ltd. Şti.,halicint.com,halic@halicint.com,0212 653 18 53,İSTANBUL,UTIKAD
Hardway Logistics Taşımacılık A.Ş.,ariyalojistik.com,info@hardwaylogistics.com,0216 469 99 90 - 0216 469 99 91,İSTANBUL,UTIKAD
Hareket Proje Taş. ve Yük Mühendisliği A.Ş.,hareket.com,marketing@hareket.com,0216 311 41 41,İSTANBUL,UTIKAD
Hasenat Loj. İç ve Dış Tic. Ltd. Şti.,hasenatlogistics.com,sales@hasenatlogistics.com,0555 823 83 82,ANKARA,UTIKAD
Havaalanları Yer Hizmetleri A.Ş.,havas.net,info@havas.net,0212 465 56 56,İSTANBUL,UTIKAD
Hellmann Worldwide Lojistik Ltd. Şti.,hellmann.net,Sinan.mutlu@hellmann.com,0212 875 30 44,İSTANBUL,UTIKAD
Hilal Trans Uluslararası Nakliyat ve Tic. A.Ş.,hilaltrans.com,hilaltrans@hilaltrans.com,0216 576 98 27,İSTANBUL,UTIKAD
Hiper Lojistik Dış Ticaret A.Ş.,hiperlojistik.com,info@hiperlojistik.com,0850 474 13 44,HATAY,UTIKAD
Hisar Lojistik Turizm İnşaat ve Dış Tic. Ltd. Şti.,hisargroup.com,info@hisargroup.com,0212 426 70 50,İSTANBUL,UTIKAD
History Dış Ticaret ve Lojistik Ltd. Şti.,history-ftl.com.tr,ulvi@history-ftl.com.tr,0216 766 59 04,İSTANBUL,UTIKAD
Hitit Trans Uluslararası Nakliyat Gümrük Müşavirliği  San. ve Tic. Ltd. Şti.,hitittrans.com,info@hitittrans.com,0312 472 11 47,ANKARA,UTIKAD
Hitit Val Güvenlik Hizmetleri A.Ş.,ferrarigroup.net,deniz.asik@ferrarigroup.net,0212 603 33 11,İSTANBUL,UTIKAD
HK Hızlı Kargo Uluslararası Taşımacılık Lojistik Hizmetleri ve Tic. A.Ş.,shipzip.com,team@shipzip.com,0212 274 00 18,İSTANBUL,UTIKAD
HM Uluslararası Proje Taşımacılığı A.Ş.,hm-proje.com.tr,info@hm-proje.com.tr,0212 232 01 37,İSTANBUL,UTIKAD
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.,horoz.com.tr,info@horoz.com.tr,0212 456 10 00,İSTANBUL,UTIKAD
Hoyer Uluslararası Nakliyat Ltd. Şti.,hoyer-group.com,ekin.tirman@hoyer-group.com,0262 724 95 80,KOCAELİ,UTIKAD
Hödlmayr Nakliyat ve Tic. Ltd. Şti.,hoedlmayr.com,info@hoedlmayr.com,0216 314 69 03,İSTANBUL,UTIKAD
HPL One Uluslararası Proje Lojistik A.Ş.,hpl-one.com,turkiye@hpl-one.com,0216 504 79 00,İSTANBUL,UTIKAD
HRA Global Lojistik A.Ş.,hragloballogistics.com,,0216 445 00 54 - 0216 445 44 55,İSTANBUL,UTIKAD
HS Lojistik Ulus. Nak. İhr. İth. Hasan SEVİNSEL,hsinternationaltransport.com,info@hsinternationaltransport.com,0212 202 88 90,İSTANBUL,UTIKAD
HSL Uluslararası Taşımacılık Hiz. Tic. Ltd. Şti.,hslinternational.com.tr,halil@hslinternational.com.tr,0324 238 28 63,MERSİN,UTIKAD
Hubtic Lojistik ve Yazılım A.Ş.,hubtic.com,operations@hubtic.com,0216 326 16 01,İSTANBUL,UTIKAD
Hursan Lojistik ve Dış Tic. A.Ş.,hursanlojistik.com,info@hursanlojistik.com,0212 876 62 00,İSTANBUL,UTIKAD
HYDRA Deniz Kara Hava Demiryolu Taşımacılık Lojistik İthalat İhracat Sanayi ve Ticaret A.Ş.,hydralogistics.com.tr,,,BURSA,UTIKAD
Hyundai Glovis Loj. Dış Tic. San. ve Tic. Ltd. Şti.,glovis.com.tr,ozanbayram@glovis.com.tr,0216 380 07 01,İSTANBUL,UTIKAD
IFF Lojistik Hizmetleri A.Ş.,ifforwarding.com,info@ifforwarding.com,0212 400 13 13,İSTANBUL,UTIKAD
Innova Global Sis. Danış. Loj. Hiz. ve Tic. Ltd. Şti.,innovaturkey.com,info@innovaturkey.com,0216 550 10 35,İSTANBUL,UTIKAD
InterRail Uluslararası Nak. ve Loj. Hiz. A.Ş.,interrail.ag,enver.eser@interrail.ag,0533 685 76 20,İSTANBUL,UTIKAD
ISC Lojistik A.Ş.,isc.com.tr,isc@isc.com.tr,444 74 14,İZMİR,UTIKAD
Isl Int. Nakliyat ve Ticaret Ltd. Şti.,islgroup.net,baran.ozkaya@tr.islgroup.net,0232 422 17 37,İZMİR,UTIKAD
ISS Global Forwarding Taşımacılık A.Ş.,iss-globalforwarding.com,TR.PAYABLES@iss-gf.com,0216 265 65 00,İSTANBUL,UTIKAD
ISS Palumbo Turkey Deniz Acentalığı Nakliyat ve Ticaret Ltd. Şti.,iss-palumbo.com,issp-turkey@iss-palumbo.com,0850 840 46 75,İSTANBUL,UTIKAD
ITS Lojistik A.Ş.,itslojistik.com,info@itslojistik.com,0216 414 88 77,İSTANBUL,UTIKAD
İbrakom Lojistik Hizmetleri Ltd. Şti.,ibrakom.com,ilknur.salli@ibrakom.com,0216 425 48 33,İSTANBUL,UTIKAD
İda Uluslararası Taşımacılık Tic. A.Ş.,idafreight.com,info@idafreight.com,0216 492 94 90,İSTANBUL,UTIKAD
İDEA Taşımacılık Hizmetleri ve Ticaret Ltd. Şti.,idealogistics.net,deniz.maral@idealogistics.net,,İSTANBUL,UTIKAD
İdeal Denizcilik ve Taşımacılık Ltd. Şti.,ideal-transport.com,info@ideal-transport.com,0216 346 50 42,İSTANBUL,UTIKAD
İDL Lojistik Hizmetleri A.Ş.,idllogistics.com,info@idllogistics.com,0212 496 02 02,İSTANBUL,UTIKAD
İDO İstanbul Deniz Otobüsleri San. ve Tic. A.Ş.,ido.com.tr,ksm@ido.com.tr,0212 455 69 00,İSTANBUL,UTIKAD
İmisk İth. İhr. Tic. ve Nak. A.Ş.,imisk.com.tr,muhasebe@imisk.com.tr,0324 238 57 00,İSTANBUL,UTIKAD
İMS Lojistik Sanayi ve Ticaret Ltd. Şti.,imslojistik.com,ims@imsglobe.com,0324 504 04 37,MERSİN,UTIKAD
İnter Kombi Transport ve Lojistik A.Ş.,intercombi.com,info@intercombi.com,0212 622 50 00,İSTANBUL,UTIKAD
İrmaklar Uluslararası Taşımacılık İth. İhr. San. ve Tic. Ltd. Şti.,irmaklar.com,irmaklar@irmaklar.com,0324 238 30 15,MERSİN,UTIKAD
İrnak Lojistik Dış Tic. Ltd. Şti.,irnak.com.tr,irnaklojistik@gmail.com,0216 527 58 05,İSTANBUL,UTIKAD
İstanbul Denizcilik Nak. ve Tic. Ltd. Şti.,istanbulogistics.com,info@istlogistics.com,0216 622 71 11,İSTANBUL,UTIKAD
İTT Uluslararası Taş. San. ve Tic. Ltd. Şti.,itt.com.tr,info@itt.com.tr,0262 751 22 67,KOCAELİ,UTIKAD
İznak İzmir Uls. Nakt İnş. San.i ve Tic. Ltd. Şti.,iznak.com.tr,muhasebe@iznak.com.tr,0232 435 88 88,İZMİR,UTIKAD
JMS Uluslararası Taş. Organizasyon Tic. A.Ş.,jms.com.tr,jmsizm@jms.com.tr,0232 464 72 74,İZMİR,UTIKAD
John Good Deniz. Taş. ve Loj. Hiz. Tic. Ltd. Şti.,johngood.com.tr www.johngood.co.uk,info@johngood.com.tr,0232 482 35 65,İZMİR,UTIKAD
Join The Moment Lojistik A.Ş.,jtmsa.com,hdonmez@jtmsa.com,0555 262 25 02,İSTANBUL,UTIKAD
Just Marine Lojistik Hizmetleri A.Ş.,justmarine.com.tr,account@justmarine.com.tr,0342 502 01 90,GAZİANTEP,UTIKAD
KA Global Lojistik Hizmetleri Ticaret A.Ş.,kagl.com.tr,alex.sandalci@kagl.com.tr,0212 302 78 62,İSTANBUL,UTIKAD
KAF TRANS Uluslararası Taş. ve Tic. A.Ş.,kaftrans.com.tr,info@kaftrans.com.tr,0216 380 75 23,İSTANBUL,UTIKAD
"Kalenakliyat, Seyahat ve Turizm A.Ş.",kalenakliyat.com.tr,kalenakliyat@kale.com.tr,0286 416 19 00,ÇANAKKALE,UTIKAD
Kales Airline Services Taşımacılık Ltd. Şti.,actglobal.aero,selcuk.yeginer@actglobal.aero,0530 407 65 18,İSTANBUL,UTIKAD
Kamp Lojistik Ticaret A.Ş.,kamplogistics.com,info@kamplogistics.com,0232 274 52 67,İZMİR,UTIKAD
Karaca Global Lojistik A.Ş.,karacalojistik.com,info@karacalojistik.com,0212 451 20 20,İSTANBUL,UTIKAD
Karadağ Denizcilik Yük Sabitleme ve Liman Hizmetleri Sanayi ve Ticaret Ltd. Şti.,karadagdenizcilik.com,,0850 441 01 07,İSTANBUL,UTIKAD
Kare Kara Taş. Loj. Hizmetler ve Dış Tic. A.Ş.,karekara.com.tr,info@karekara.com,0212 876 03 58,İSTANBUL,UTIKAD
Kargotur Dış Tic. Nakliyat Turizm Ltd. Şti.,kargotur.com.tr,info@kargotur.com.tr,0212 662 28 27,İSTANBUL,UTIKAD
Karınca Lojistik A.Ş.,karincalogistics.com,info@karincalogistics.com,0212 866 18 66,İSTANBUL,UTIKAD
Katılımcı Üye - Lojisoft Yazılım Hizmetleri A.Ş,lojisoft.com,gizem.doa.com.tr,0216 466 85 32,İSTANBUL,UTIKAD
Katılımcı Üye - Move Tech Yazılım Ticaret A.Ş.,movetech.com.tr,info@movetech.com.tr,,İSTANBUL,UTIKAD
KD Denizcilik Uluslararası Taş. ve Tic. A.Ş.,kdd.com.tr,info@kdd.com.tr,0216 337 17 00,İSTANBUL,UTIKAD
Keşif Nakliyat ve Gümrükleme Tic. Ltd. Şti.,kesifnakliyat.com,sevil@kesifnakliyat.com,0212 466 38 90,İSTANBUL,UTIKAD
Key Depolama Lojistik Ticaret A.Ş.,keylogistics.com.tr,,0232 435 82 82,İZMİR,UTIKAD
KG Marin Lojistik Ticaret A.Ş.,kgmarin.com,info@kgmarin.com,,İSTANBUL,UTIKAD
Kıta Ulaştırma Hizmetleri Tic. A.Ş.,kitalogistics.com,kitaist@kita.com.tr,0212 410 41 41,İSTANBUL,UTIKAD
Kızılay Lojistik A.Ş.,kizilaylojistik.com.tr,info@kizilaylojistik.com.tr,0216 629 64 78,İSTANBUL,UTIKAD
KL Lojistik Hizmetleri ve Tic. Ltd. Şti.,kllogistics.com.tr,kl@komodor.com.tr,0212 352 81 61,İSTANBUL,UTIKAD
Knec Lojistik ve Tedarik Hizmetleri A.Ş.,knecgroup.com,sales@knecgroup.com,0232 700 13 75,İZMİR,UTIKAD
Konsped Intermodal Taşımacılık ve Tic. A.Ş.,konsped.com,info@konsped.com,0216 468 98 00,İSTANBUL,UTIKAD
Koparan Uluslararası Nakliyat İthalat İhracat Gümrükleme Ltd. Şti.,koparan.com,info@koparan.com,0212 551 15 34,İSTANBUL,UTIKAD
Korver Lojistik ve Dış Ticaret Ltd. Şti.,korvershipping.com,info@korvershipping.com,0216 225 94 80,İSTANBUL,UTIKAD
Kre Kare Lojistik  Ltd. Şti.,karelojistik.com,kare@karelojistik.com,0850 811 52 73,İSTANBUL,UTIKAD
KS Lojistik ve Nak. İnşaat San. Dış Tic. Ltd. Şti.,kslojistik.com.tr,info@kslojistik.com.tr,0216 256 56 51,İSTANBUL,UTIKAD
KTL Uluslararası Taşımacılık ve Tic. A.Ş.,kinaygroup.com,ktl.muhasebe@kinaygroup.com,0212 355 06 00,İSTANBUL,UTIKAD
Lam Global Taşımacılık Çözümleri A.Ş.,lam-world.com,tur.elif.cetinkaya@lam-world.com.tr,0850 288 47 00,İSTANBUL,UTIKAD
Landsea Global Taşımacılık Tic. A.Ş.,landseaglobal.com,info@landseaglobal.com,0212 286 00 42,İSTANBUL,UTIKAD
Lanes Lojistik ve Tic. A.Ş.,laneslog.com,info@laneslog.com,0212 282 00 45,İSTANBUL,UTIKAD
Lara Freight Uluslararası Taşımacılık A.Ş.,larafreight.com.tr,cargo@larafreight.com.tr,0216 346 52 72,İSTANBUL,UTIKAD
Latifoğlu Gemi Acentalığı ve Nakliyat Ltd. Şti.,latifoglu.com,latifoglu@latifoglu.com,0324 238 86 13,MERSİN,UTIKAD
LDH Liman Deniz Hizmetleri Nakliye Tarım Ürünleri Madencilik Sanayi ve Ticaret Ltd. Şti.,limandenizhizmetleri.com,,0324 238 09 22,MERSİN,UTIKAD
Lemar Lojistik Hizmetleri Taş. Tic. Ltd. Şti.,lemar.com.tr,muhasebe@lemar.com.tr,0232 463 81 90,İZMİR,UTIKAD
LEX Uluslararası Taşımacılık Ticaret A.Ş.,lexlojistik.com,levent.ozkurt@lexlog.com.tr,0232 503 82 34,İZMİR,UTIKAD
LGT Lojistik A.Ş.,lgtlogistics.com.tr,info@lgtlogistics.com.tr,0216 593 91 06,İSTANBUL,UTIKAD
Lift Lojistik A.Ş.,liftdagitim.com,info@liftdagitim.com,0216 232 26 62,İSTANBUL,UTIKAD
Lima Lojistik Hizmetleri San. ve Tic. A.Ş.,limalogistics.com,info@limalogistics.com,0224 443 56 01,BURSA,UTIKAD
Limamar Hava ve Deniz Hizmetleri Ltd. Şti.,limamar.com,limamar@limamar.com,0212 213 71 42,İSTANBUL,UTIKAD
Link Lojistik Hizmetleri A.Ş.,linkshipping.com,burak.k@linkshipping.com,0216 347 02 42,İSTANBUL,UTIKAD
Linos Net Ulus. Taş. Nak. Dış Tic. Ltd. Şti.,linosint.com,info@linosint.com,0232 464 35 25,İZMİR,UTIKAD
Logex Danışmanlık Lojistik San. ve Dış Tic. A.Ş.,log-ex.com,info@log-ex.com,0224 322 05 85,BURSA,UTIKAD
Logisan Lojistik Ltd. Şti.,logi-san.com,talha@logi-san.com,0212 909 96 77,İSTANBUL,UTIKAD
Logista Global Lojistik Ltd. Şti.,logistaglobal.com,info@logistaglobal.com,0216 784 76 76,İSTANBUL,UTIKAD
Logistics Plus Ulus. Taş. Ltd. Şti.,logisticsplus.com,,0216 380 11 06,İSTANBUL,UTIKAD
Logisturk Ulus. Taş. Deniz. ve Dış Tic. Ltd. Şti.,logisturk.com.tr,info@logisturkint.com,0232 464 00 10,İZMİR,UTIKAD
Logitrans Lojistik A.Ş.,logitransport.com,contact@logitransport.com,0216 660 17 70,İSTANBUL,UTIKAD
Logwin Air And Ocean Loj. Hiz. ve Ltd. Şti.,logwin-logistics.com,osman.kahraman@logwin-logistics.com,0212 500 34 61,İSTANBUL,UTIKAD
Loop Entegre Lojistik Hizmetleri Tic. A.Ş.,looplogistics.com.tr,finance@looplogistics.com.tr,0232 502 72 85 - 0543 227 15 06,İZMİR,UTIKAD
Lova Lojistik ve Ulus. Taş. Ltd. Şti.,lova-logistics.com,gorkem.dedeoglu@lova-logistics.com,0505 291 14 03,İZMİR,UTIKAD
LSC Levant Denizcilik San. ve Tic. A.Ş.,lsc-int.com,info@lsc-int.com,0212 274 57 00,İSTANBUL,UTIKAD
Lumos Lojistik Ulus. Taş. Ltd. Şti.,lumoslogistics.com,info@lumoslogistics.com,0538 055 27 19,İSTANBUL,UTIKAD
Luvi Lojistik Ltd. Şti.,luvilog.com,nebi@luvilog.com,0322 248 70 70,ADANA,UTIKAD
M Ekspres Kargo Taş. Turizm ve Tic. Ltd. Şti.,mex.com.tr,info@mex.com.tr,0212 444 16 39,İSTANBUL,UTIKAD
Makhill Taşımacılık ve Dış Tic. A.Ş.,makhill.com.tr,mertkan@makhill.com.tr,0850 2160934,İSTANBUL,UTIKAD
Makr Group Denizcilik A.Ş.,makrgrs.com,mert@makrgrs.com,0216 771 00 96,İSTANBUL,UTIKAD
Manuport Lojistik Hizmetleri Ltd. Şti.,manuport-logistics.com.tr,info@manuport-logstics.com.tr,0216 347 57 50,İSTANBUL,UTIKAD
Mare Logistics Taşımacılık A.Ş.,marelogistics.us,ilker.ozsoylemez@marelogistics.us,0232 347 62 73,İZMİR,UTIKAD
Mare Lojistik Hizmetleri Tic. A.Ş.,marelojistik.com.tr,info@marelojistik.com.tr,0216 456 34 89,İSTANBUL,UTIKAD
Maritsa Denizcilik Sanayi ve Ticaret A.Ş.,maritsa.com.tr,,0538 240 47 48,İSTANBUL,UTIKAD
Mark Global Lojistik A.Ş.,markglobal.com.tr,info@markglobal.com.tr,0212 266 63 22,İSTANBUL,UTIKAD
Marmaris Gemi Acentalığı A.Ş.,marmarisshipping.com.tr,info@marmarisshipping.com.tr,0224 211 55 58,BURSA,UTIKAD
Marport Liman İşletmeleri San. ve Tic. A.Ş.,marport.com.tr,hizmet@marport.com.tr,0212 866 52 00,İSTANBUL,UTIKAD
Marpro Lojistik Ulus. Taş. ve Tic. Ltd. Şti.,marprologistics.com,info@marprologistics.com,0212 654 74 94,İSTANBUL,UTIKAD
Mars Hava ve Deniz Kargo Taşımacılığı  A.Ş.,marslogistics.com,aliozerol@marslogistics.com,0212 411 44 44,İSTANBUL,UTIKAD
Martı Global Lojistik San. ve Tic. Ltd. Şti.,martiglobal.com.tr,nakliye@martigloballojistik.com,0212 451 24 69,İSTANBUL,UTIKAD
Martı Konteyner Hizmetleri A.Ş.,marticontainer.com.tr,info@marticontainer.com.tr,0216 425 46 46,İSTANBUL,UTIKAD
